index,period,attendances
553,2017-02-01,2716
554,2017-02-01,4861
555,2017-02-01,1303
556,2017-02-01,17442
557,2017-02-01,6822
558,2017-02-01,5220
559,2017-02-01,1321
560,2017-02-01,1728
561,2017-02-01,6039
562,2017-02-01,9989
563,2017-02-01,1153
564,2017-02-01,7094
565,2017-02-01,6855
566,2017-02-01,20121
567,2017-02-01,3991
568,2017-02-01,3123
569,2017-02-01,6775
570,2017-02-01,1422
571,2017-02-01,9257
572,2017-02-01,7598
573,2017-02-01,2596
574,2017-02-01,4342
575,2017-02-01,8460
576,2017-02-01,1093
577,2017-02-01,6264
578,2017-02-01,8954
579,2017-02-01,4714
580,2017-02-01,4414
581,2017-02-01,597
582,2017-02-01,5712
583,2017-02-01,4584
584,2017-02-01,7740
585,2017-02-01,5103
586,2017-02-01,6831
587,2017-02-01,6352
588,2017-02-01,9419
589,2017-02-01,1590
590,2017-02-01,4333
591,2017-02-01,5567
592,2017-02-01,3961
593,2017-02-01,7435
594,2017-02-01,6113
595,2017-02-01,1486
596,2017-02-01,5985
597,2017-02-01,3418
598,2017-02-01,4098
599,2017-02-01,7050
600,2017-02-01,2280
601,2017-02-01,368
602,2017-02-01,6605
603,2017-02-01,7930
604,2017-02-01,5630
605,2017-02-01,7498
606,2017-02-01,1387
607,2017-02-01,3139
608,2017-02-01,3112
609,2017-02-01,4918
610,2017-02-01,2574
611,2017-02-01,11012
612,2017-02-01,1059
613,2017-02-01,4101
614,2017-02-01,6153
615,2017-02-01,1187
616,2017-02-01,3155
617,2017-02-01,2003
618,2017-02-01,981
619,2017-02-01,7016
620,2017-02-01,7750
621,2017-02-01,1484
622,2017-02-01,3084
623,2017-02-01,3264
624,2017-02-01,10975
625,2017-02-01,4554
626,2017-02-01,7951
627,2017-02-01,718
628,2017-02-01,17357
629,2017-02-01,4755
630,2017-02-01,9772
631,2017-02-01,5913
632,2017-02-01,4568
633,2017-02-01,7789
634,2017-02-01,1004
635,2017-02-01,575
636,2017-02-01,3039
637,2017-02-01,1046
638,2017-02-01,5201
639,2017-02-01,3181
640,2017-02-01,10386
641,2017-02-01,1619
642,2017-02-01,8460
643,2017-02-01,6160
644,2017-02-01,3116
645,2017-02-01,3404
646,2017-02-01,119
647,2017-02-01,2343
648,2017-02-01,9816
649,2017-02-01,1478
650,2017-02-01,515
651,2017-02-01,7229
652,2017-02-01,217
653,2017-02-01,4830
